source_name,target_name,month,source,target,weight,season,from_pop,to_pop,from_production,to_production,source_admin1,target_admin1,distance
Dagana,Dakar,3,1228208,1228209,5057.25,hot dry,60299.992,468201.1,5441.0,2177.25,Saint-Louis,Dakar,374.0
Dagana,Dakar,4,1228208,1228209,5057.25,hot dry,60299.992,468201.1,5441.0,2177.25,Saint-Louis,Dakar,374.0
Dagana,Dakar,5,1228208,1228209,5057.25,hot dry,60299.992,468201.1,5441.0,2177.25,Saint-Louis,Dakar,374.0
Dagana,Dakar,6,1228208,1228209,5057.25,hot dry,60299.992,468201.1,5441.0,2177.25,Saint-Louis,Dakar,374.0
Dagana,Saint-Louis,3,1228208,1228217,3833.5,hot dry,60299.992,8405.305,5441.0,10.0,Saint-Louis,Saint-Louis,128.0
Dagana,Saint-Louis,4,1228208,1228217,3833.5,hot dry,60299.992,8405.305,5441.0,10.0,Saint-Louis,Saint-Louis,128.0
Dagana,Saint-Louis,5,1228208,1228217,3833.5,hot dry,60299.992,8405.305,5441.0,10.0,Saint-Louis,Saint-Louis,128.0
Dagana,Saint-Louis,6,1228208,1228217,3833.5,hot dry,60299.992,8405.305,5441.0,10.0,Saint-Louis,Saint-Louis,128.0
Dakar,Diourbel,1,1228209,1228210,49.0,cold dry,468201.1,106848.87,2026.75,0.0,Dakar,Diourbel,159.0
Dakar,Diourbel,2,1228209,1228210,49.0,cold dry,468201.1,106848.87,2026.75,0.0,Dakar,Diourbel,159.0
Dakar,Diourbel,11,1228209,1228210,49.0,cold dry,468201.1,106848.87,2026.75,0.0,Dakar,Diourbel,159.0
Dakar,Diourbel,12,1228209,1228210,49.0,cold dry,468201.1,106848.87,2026.75,0.0,Dakar,Diourbel,159.0
Dakar,Kaolack,1,1228209,1228212,107.0,cold dry,468201.1,40779.58,2026.75,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,2,1228209,1228212,107.0,cold dry,468201.1,40779.58,2026.75,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,3,1228209,1228212,49.0,hot dry,468201.1,40779.58,2177.25,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,4,1228209,1228212,49.0,hot dry,468201.1,40779.58,2177.25,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,5,1228209,1228212,49.0,hot dry,468201.1,40779.58,2177.25,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,6,1228209,1228212,49.0,hot dry,468201.1,40779.58,2177.25,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,7,1228209,1228212,19.0,rainy,468201.1,40779.58,1198.75,0.0,Dakar,Kaolack,690.0
Dakar,Kaolack,8,1228209,1228212,19.0,rainy,468201.1,40779.58,1198.75,0.0,Dakar,Kaolack,690.0
