motif,time,count,delta
0,1,0,1
0,2,0,1
0,3,0,1
0,4,0,1
0,5,0,1
0,6,0,1
0,7,0,1
0,8,0,1
0,9,0,1
0,10,0,1
0,11,0,1
0,12,0,1
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,1
1,5,0,1
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,1
1,10,0,1
1,11,0,1
1,12,0,1
2,1,1111,1
2,2,1111,1
2,3,1111,1
2,4,1054,1
2,5,5,1
2,6,306,1
2,7,31,1
2,8,1436,1
2,9,1436,1
2,10,1192,1
2,11,25,1
2,12,1111,1
3,1,0,1
3,2,0,1
3,3,0,1
3,4,0,1
3,5,31,1
3,6,0,1
3,7,21,1
3,8,0,1
3,9,0,1
3,10,0,1
3,11,132,1
3,12,0,1
4,1,0,1
4,2,0,1
4,3,0,1
4,4,3,1
4,5,74,1
4,6,0,1
4,7,44,1
4,8,0,1
4,9,0,1
4,10,95,1
4,11,214,1
4,12,0,1
5,1,0,1
5,2,0,1
5,3,0,1
5,4,4,1
5,5,6,1
5,6,0,1
5,7,5,1
5,8,0,1
5,9,0,1
5,10,60,1
5,11,2,1
5,12,0,1
6,1,0,1
6,2,0,1
6,3,0,1
6,4,0,1
6,5,58,1
6,6,0,1
6,7,0,1
6,8,0,1
6,9,0,1
6,10,0,1
6,11,82,1
6,12,0,1
7,1,315,1
7,2,315,1
7,3,315,1
7,4,287,1
7,5,7,1
7,6,41,1
7,7,15,1
7,8,855,1
7,9,855,1
7,10,575,1
7,11,57,1
7,12,315,1
8,1,0,1
8,2,0,1
8,3,0,1
8,4,0,1
8,5,0,1
8,6,0,1
8,7,0,1
8,8,0,1
8,9,0,1
8,10,0,1
8,11,0,1
8,12,0,1
9,1,0,1
9,2,0,1
9,3,0,1
9,4,0,1
9,5,0,1
9,6,0,1
9,7,0,1
9,8,0,1
9,9,0,1
9,10,0,1
9,11,0,1
9,12,0,1
10,1,0,1
10,2,0,1
10,3,0,1
10,4,0,1
10,5,0,1
10,6,0,1
10,7,0,1
10,8,0,1
10,9,0,1
10,10,0,1
10,11,0,1
10,12,0,1
11,1,0,1
11,2,0,1
11,3,0,1
11,4,0,1
11,5,0,1
11,6,0,1
11,7,0,1
11,8,0,1
11,9,0,1
11,10,0,1
11,11,0,1
11,12,0,1
12,1,0,1
12,2,0,1
12,3,0,1
12,4,0,1
12,5,85,1
12,6,0,1
