motif,time,count,delta
0,1,97,3
0,2,98,3
0,3,70,3
0,4,70,3
0,5,70,3
0,6,64,3
0,7,63,3
0,8,69,3
0,9,69,3
0,10,75,3
0,11,90,3
0,12,83,3
1,1,196,3
1,2,216,3
1,3,177,3
1,4,163,3
1,5,156,3
1,6,156,3
1,7,156,3
1,8,156,3
1,9,156,3
1,10,156,3
1,11,186,3
1,12,186,3
2,1,818,3
2,2,804,3
2,3,738,3
2,4,733,3
2,5,730,3
2,6,729,3
2,7,729,3
2,8,729,3
2,9,747,3
2,10,783,3
2,11,918,3
2,12,856,3
3,1,78,3
3,2,77,3
3,3,64,3
3,4,64,3
3,5,64,3
3,6,70,3
3,7,71,3
3,8,65,3
3,9,65,3
3,10,59,3
3,11,85,3
3,12,92,3
4,1,144,3
4,2,128,3
4,3,124,3
4,4,124,3
4,5,124,3
4,6,124,3
4,7,124,3
4,8,144,3
4,9,162,3
4,10,178,3
4,11,182,3
4,12,162,3
5,1,131,3
5,2,115,3
5,3,111,3
5,4,111,3
5,5,111,3
5,6,111,3
5,7,111,3
5,8,123,3
5,9,137,3
5,10,153,3
5,11,157,3
5,12,145,3
6,1,11,3
6,2,10,3
6,3,17,3
6,4,18,3
6,5,17,3
6,6,17,3
6,7,8,3
6,8,10,3
6,9,9,3
6,10,10,3
6,11,9,3
6,12,9,3
7,1,201,3
7,2,207,3
7,3,189,3
7,4,183,3
7,5,180,3
7,6,180,3
7,7,162,3
7,8,162,3
7,9,168,3
7,10,180,3
7,11,216,3
7,12,204,3
8,1,125,3
8,2,123,3
8,3,165,3
8,4,165,3
8,5,165,3
8,6,165,3
8,7,123,3
8,8,123,3
8,9,129,3
8,10,141,3
8,11,147,3
8,12,133,3
9,1,7,3
9,2,8,3
9,3,17,3
9,4,16,3
9,5,17,3
9,6,17,3
9,7,10,3
9,8,8,3
9,9,9,3
9,10,8,3
9,11,9,3
9,12,9,3
10,1,0,3
10,2,0,3
10,3,0,3
10,4,0,3
10,5,0,3
10,6,0,3
10,7,0,3
10,8,0,3
10,9,0,3
10,10,0,3
10,11,0,3
10,12,0,3
11,1,0,3
11,2,0,3
11,3,0,3
11,4,0,3
11,5,0,3
11,6,0,3
11,7,0,3
11,8,0,3
11,9,0,3
11,10,0,3
11,11,0,3
11,12,0,3
12,1,77,3
12,2,69,3
12,3,66,3
12,4,66,3
12,5,66,3
12,6,66,3
12,7,66,3
12,8,68,3
12,9,73,3
12,10,81,3
12,11,84,3
12,12,82,3
13,1,208,3
13,2,192,3
13,3,228,3
13,4,207,3
13,5,193,3
13,6,186,3
13,7,186,3
13,8,190,3
13,9,200,3
13,10,216,3
13,11,222,3
13,12,218,3
14,1,1072,3
14,2,1005,3
14,3,984,3
14,4,978,3
14,5,974,3
14,6,972,3
14,7,972,3
14,8,979,3
14,9,1004,3
14,10,1047,3
14,11,1224,3
14,12,1145,3
15,1,77,3
15,2,69,3
15,3,66,3
15,4,66,3
15,5,66,3
15,6,66,3
15,7,66,3
15,8,68,3
15,9,73,3
15,10,81,3
15,11,84,3
15,12,82,3
16,1,136,3
16,2,135,3
16,3,120,3
16,4,120,3
16,5,120,3
16,6,120,3
16,7,120,3
